"wp_id","slug","name","developer","community","completion_date","project_price","project_status","amenities_title","amenities_content","amenities_count","types_count","types_title","payment_count","payment_title","payments_accept_title","overview_content","archive_name","view_count"
"17541","emaar-beachfront-apartments-sale-rent","Emaar Beachfront Apartments Dubai","Emaar Properties","Emaar Beachfront",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartments</li>
 	<li>Starting Price AED 1.4 M</li>
 	<li>Area Dubai Harbour</li>
 	<li>Developer Emaar Properties</li>
</ul>","Emaar Beachfront","13009"
"17880","beach-vista-apartments-sale-rent","Beach Vista Apartments at Emaar Beachfront","Emaar Properties","Emaar Beachfront",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 Bed Apartment</li>
 	<li>25/75 Payment Plan</li>
 	<li>Starting Price AED 2,931,888</li>
 	<li>Completion date Q3 - 2021</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Beach Vista","5293"
"18103","sunrise-bay-apartments-for-sale-at-emaar-beachfront-dubai-2","Marina Vista at Emaar Beachfront Dubai","Emaar Properties","Emaar Beachfront",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartment</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 1,410,888</li>
 	<li>Location - Dubai Harbour</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Marina Vista at Emaar Beachfront","4934"
"18121","grand-bleu-apartments-for-sale-at-emaar-beachfront-dubai","Grand Bleu Tower Apartments","Emaar Properties","Emaar Beachfront",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul>
 	<li>1, 2 &amp; 3 Bedroom Apartments</li>
 	<li>Starting Price AED 1,722,888</li>
 	<li>Area Dubai Harbour</li>
 	<li class=""detail-country"">Payment Plan 70/30, 2 Yrs Post-Handover</li>
 	<li class=""detail-country"">Completion Date Q2-2023</li>
</ul>","Grand Bleu Tower","5823"
"18143","beach-isle-apartments-for-sale-at-emaar-beachfront-dubai","Beach Isle Apartments at Emaar Beachfront","Emaar Properties","Emaar Beachfront",NULL,,"New Launch",,,,,,,,,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartment</li>
 	<li>2 Years Post Handover</li>
 	<li>Starting from AED 1,918,888</li>
 	<li>Location - Dubai Harbour</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Beach Isle","4279"
"18155","south-beach-holiday-homes-for-sale-at-emaar-beachfront-dubai","South Beach Holiday Homes at Emaar Beachfront","Emaar Properties","Emaar Beachfront",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartment</li>
 	<li>60/40 Payment Plan</li>
 	<li>Starting from AED 1,352,888</li>
 	<li>Location - Dubai Harbour</li>
 	<li>Developed by Emaar Properties</li>
</ul>","South Beach Holiday Homes","4234"
"18165","madinat-jumeirah-apartments-for-sale-rent","Madinat Jumeirah Living Apartments","Dubai Properties","Madinat Jumeirah Living (MJL)",NULL,NULL,"Under Construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"<ul class=""live"">
 	<li>1, 2, 3 &amp; 4 BR Apartment</li>
 	<li>50/50 Payment Plan</li>
 	<li>Starting from AED 1,474,000</li>
 	<li>Location - Madinat Jumeirah Living</li>
 	<li>Developed  by Dubai Properties</li>
</ul>","Madinat Jumeirah Living Apartments","3498"
"18171","park-point-apartments-at-dubai-hills-estate","Park Point Apartments at Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Ready to Move",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartment</li>
 	<li>50% Post Handover</li>
 	<li>Starting from AED 2,008,888</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Park Point by Emaar","3031"
"18178","park-ridge-apartments-at-dubai-hills-estate","Park Ridge by Emaar at Dubai Hills Estate","Emaar Properties","Dubai Hills Estate",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartments</li>
 	<li>25/75 Payment Plan</li>
 	<li>Starting from AED 1,154,666</li>
 	<li>Location - Dubai Hills Estate</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Park Ridge by Emaar at Dubai Hills Estate","3881"
"18183","harbour-gate-apartments-by-emaar","Harbour Gate Apartments at Dubai Creek Harbour","Emaar Properties","Dubai Creek Harbour",NULL,,"Under Construction",,,,,,,,,"<ul class=""live"">
 	<li>1, 2 &amp; 3 BR Apartments</li>
 	<li>2 Years Post Handover</li>
 	<li>Starting from AED 1,142,888</li>
 	<li>Location - Dubai Creek Harbour</li>
 	<li>Developed by Emaar Properties</li>
</ul>","Harbour Gate - Dubai Creek Harbour","2733"
