"wp_id","slug","meta_key","meta_value"
"392589","testing","payment_plan_section_payment_plan_0_payment_plan_percentage","24"
"392589","testing","payment_plan_section_payment_plan_0_payment_plan_title","Down Payment"
"392589","testing","payment_plan_section_payment_plan_1_payment_plan_percentage","11"
"392589","testing","payment_plan_section_payment_plan_1_payment_plan_title","During Construction"
"392589","testing","payment_plan_section_payment_plan_2_payment_plan_percentage","65"
"392589","testing","payment_plan_section_payment_plan_2_payment_plan_title","On Handover"
"393062","the-st-regis-residences-at-dubai-islands","payment_plan_section_payment_plan_0_payment_plan_percentage","10"
"393062","the-st-regis-residences-at-dubai-islands","payment_plan_section_payment_plan_0_payment_plan_title","Down Payment"
"393062","the-st-regis-residences-at-dubai-islands","payment_plan_section_payment_plan_1_payment_plan_percentage","40"
"393062","the-st-regis-residences-at-dubai-islands","payment_plan_section_payment_plan_1_payment_plan_title","During Construction"
"393062","the-st-regis-residences-at-dubai-islands","payment_plan_section_payment_plan_2_payment_plan_percentage","50"
"393062","the-st-regis-residences-at-dubai-islands","payment_plan_section_payment_plan_2_payment_plan_title","On Handover"
"393408","mareva-by-emaar","payment_plan_section_payment_plan_0_payment_plan_percentage","10"
"393408","mareva-by-emaar","payment_plan_section_payment_plan_0_payment_plan_title","Down Payment"
"393408","mareva-by-emaar","payment_plan_section_payment_plan_1_payment_plan_percentage","70"
"393408","mareva-by-emaar","payment_plan_section_payment_plan_1_payment_plan_title","During Construction"
"393408","mareva-by-emaar","payment_plan_section_payment_plan_2_payment_plan_percentage","20"
"393408","mareva-by-emaar","payment_plan_section_payment_plan_2_payment_plan_title","On Handover"
"393437","mareva-2-by-emaar","payment_plan_section_payment_plan_0_payment_plan_percentage","10"
"393437","mareva-2-by-emaar","payment_plan_section_payment_plan_0_payment_plan_title","Down Payment"
"393437","mareva-2-by-emaar","payment_plan_section_payment_plan_1_payment_plan_percentage","70"
"393437","mareva-2-by-emaar","payment_plan_section_payment_plan_1_payment_plan_title","During Construction"
"393437","mareva-2-by-emaar","payment_plan_section_payment_plan_2_payment_plan_percentage","20"
"393437","mareva-2-by-emaar","payment_plan_section_payment_plan_2_payment_plan_title","On Handover"
"393599","hado-by-beyond","payment_plan_section_payment_plan_0_payment_plan_percentage","50"
"393599","hado-by-beyond","payment_plan_section_payment_plan_0_payment_plan_title","During Construction"
"393599","hado-by-beyond","payment_plan_section_payment_plan_1_payment_plan_percentage","50"
"393599","hado-by-beyond","payment_plan_section_payment_plan_1_payment_plan_title","On Handover"
"393833","yigo-26-residences","payment_plan_section_payment_plan_0_payment_plan_percentage","60"
"393833","yigo-26-residences","payment_plan_section_payment_plan_0_payment_plan_title","During Construction"
"393833","yigo-26-residences","payment_plan_section_payment_plan_1_payment_plan_percentage","40"
"393833","yigo-26-residences","payment_plan_section_payment_plan_1_payment_plan_title","On Handover"
"394268","liora-residences-at-dubai-islands","payment_plan_section_payment_plan_0_payment_plan_percentage","10"
"394268","liora-residences-at-dubai-islands","payment_plan_section_payment_plan_0_payment_plan_title","Down Payment"
"394268","liora-residences-at-dubai-islands","payment_plan_section_payment_plan_1_payment_plan_percentage","40"
"394268","liora-residences-at-dubai-islands","payment_plan_section_payment_plan_1_payment_plan_title","During Construction"
"394268","liora-residences-at-dubai-islands","payment_plan_section_payment_plan_2_payment_plan_percentage","50"
"394268","liora-residences-at-dubai-islands","payment_plan_section_payment_plan_2_payment_plan_title","On Handover"
"394416","fluid-one-at-dubai-islands","payment_plan_section_payment_plan_0_payment_plan_percentage","50"
"394416","fluid-one-at-dubai-islands","payment_plan_section_payment_plan_0_payment_plan_title","During Construction"
